proc,data,tipo,descricao,pecas
Inq5026,11/09/2026,Conclusos ao(à) Relator(a),O processo foi encaminhado para análise do(a) ministro(a) responsável pelo caso.,
Inq5026,10/09/2026,Petição,"Petição Físico ou Sigiloso - Petição Sigilosa: 114396 Data: 10/09/2026, às 15:40:07",
Inq5026,10/09/2026,Petição,"Petição Físico ou Sigiloso - Petição Sigilosa: 114256 Data: 10/09/2026, às 13:17:12",
Inq5026,09/09/2026,Petição,"Petição Físico ou Sigiloso - Petição Sigilosa: 113772 Data: 09/09/2026, às 15:01:54",
Inq5026,07/09/2026,Intimado eletronicamente,"A pessoa (o autor, o réu, o executado ou outro interessado) e/ou seu advogado receberam, por sistema eletrônico, a comunicação de uma decisão do processo. | Intimação | PROCURADOR-GERAL DA REPÚBLICA",15390156715
Inq5026,04/09/2026,Petição,"Petição Físico ou Sigiloso - Petição Sigilosa: 112183 Data: 04/09/2026, às 11:59:26",
Inq5026,02/09/2026,Juntada do mandado cumprido,5326/2026,
Inq5026,01/09/2026,Petição,"Petição Físico ou Sigiloso - Petição Sigilosa: 110659 Data: 01/09/2026, às 18:18:37",
Inq5026,01/09/2026,Expedido(a),Um documento relacionado ao processo foi enviado. | Mandado de intimação despacho/decisão_SEJ,
Inq5026,31/08/2026,Conclusos ao(à) Relator(a),O processo foi encaminhado para análise do(a) ministro(a) responsável pelo caso.,
Inq5026,31/08/2026,Petição,"Petição Físico ou Sigiloso - Petição Sigilosa: 109960 Data: 31/08/2026, às 17:47:49",
Inq5026,28/08/2026,Expedido(a),Um documento relacionado ao processo foi enviado. | Comunica despacho/decisão _SEJ,
Inq5026,28/08/2026,Comunicação assinada,"Um documento relacionado ao processo, como um ofício ou um alvará, foi assinado. | Comunicação assinada | Mandado 5326/2026. Mandado de intimação despacho/decisão_SEJ",15389827136
Inq5026,28/08/2026,Comunicação assinada,"Um documento relacionado ao processo, como um ofício ou um alvará, foi assinado. | Comunicação assinada | Ofício 20476/2026. Comunica despacho/decisão _SEJ",15389827116
Inq5026,28/08/2026,Vista à PGR,O processo foi enviado à Procuradoria-Geral da República (Ministério Público Federal) para manifestação. | Vista à PGR,15389821136
Inq5026,28/08/2026,Petição,"Petição Físico ou Sigiloso - Petição Sigilosa: 108999 Data: 28/08/2026, às 17:07:17",
Inq5026,28/08/2026,Certidão,Registro de acontecimentos relacionados ao processo. | Certifico a elaboração de 1 ofício eletrônico. Despacho de 28.8.2026.,
Inq5026,28/08/2026,Certidão,Registro de acontecimentos relacionados ao processo. | Certifico a elaboração de 1 mandado de intimação. Decisão de 28.8.2026.,
Inq5026,28/08/2026,Autos disponibilizados à autoridade policial,Termo de disponibilização de autos,15389816034
