path,name,size,mime,modified,drive,id
Inq 5026/00001 Peticao - Inicial_0721af25.pdf,00001 Peticao - Inicial_0721af25.pdf,95728,application/pdf,2026-09-11T11:45:36Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOIUTIHD2VSXVTVHZEXPUGVAEILXL
Inq 5026/00002 Inquerito - 1096304-87.2025.4.01.3400_9507f2d7.pdf,00002 Inquerito - 1096304-87.2025.4.01.3400_9507f2d7.pdf,156838188,application/pdf,2026-09-11T11:46:32Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOIVZPIWS75XVN5EJ65TTQ2SJVDBU
Inq 5026/00003 Sequestro - 1117467-26.2025.4.01.3400_8b7d12f6.pdf,00003 Sequestro - 1117467-26.2025.4.01.3400_8b7d12f6.pdf,328087678,application/pdf,2026-09-11T11:46:48Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOIRRV3R6K65GI5F37QTFC2EVYMC7
Inq 5026/00004 Busca e apreensao - PEDIDO DE BUSCA E APREENSAO CRIMINAL NUMERO 1117412-75.2025.4.01.3400_897a2c0d.pdf,00004 Busca e apreensao - PEDIDO DE BUSCA E APREENSAO CRIMINAL NUMERO 1117412-75.2025.4.01.3400_897a2c0d.pdf,522116530,application/pdf,2026-09-11T11:45:59Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOIUPM26FU5MKOJDIBUVHFKTIYPXX
Inq 5026/00005 Busca e apreensao - PEDIDO DE BUSCA E APREENSAO CRIMINAL NUMERO 1117412-75.2025.4.01.3400_d48cc0ea.pdf,00005 Busca e apreensao - PEDIDO DE BUSCA E APREENSAO CRIMINAL NUMERO 1117412-75.2025.4.01.3400_d48cc0ea.pdf,304654978,application/pdf,2026-09-11T11:49:03Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOIT2CSWDV6J24BGIUQPAZFSFIJ2J
Inq 5026/00006 Restituicao de coisas apreendidas - Numero 1137046-57.2025.4.01.3400_d0bb8f3b.pdf,00006 Restituicao de coisas apreendidas - Numero 1137046-57.2025.4.01.3400_d0bb8f3b.pdf,1649151,application/pdf,2026-09-11T11:44:22Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOIWRITZXNBZRCBGLSHEWU64MKUR7
Inq 5026/00007 Documento comprobatorio - PETICAO CRIMINAL Numero 1138379-44.2025.4.01.3400_8ca414e5.pdf,00007 Documento comprobatorio - PETICAO CRIMINAL Numero 1138379-44.2025.4.01.3400_8ca414e5.pdf,47135497,application/pdf,2026-09-11T11:45:06Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOIS7K4FL7G26VNCI4MNAY35KEPGQ
Inq 5026/00008 Restituicao de coisas apreendidas - Numero 1138520-63.2025.4.01.3400_6920c527.pdf,00008 Restituicao de coisas apreendidas - Numero 1138520-63.2025.4.01.3400_6920c527.pdf,1756606,application/pdf,2026-09-11T11:46:54Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOIVZBLELJ63EFNHJ5RKCZK4VI5XY
Inq 5026/00009 Restituicao de coisas apreendidas - Numero 1139230-83.2025.4.01.3400_3bfca3fa.pdf,00009 Restituicao de coisas apreendidas - Numero 1139230-83.2025.4.01.3400_3bfca3fa.pdf,2350854,application/pdf,2026-09-11T11:47:57Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOIRIOBHT6FJOMZC2UZNH4GAKMFXW
Inq 5026/00010 Prisao preventiva - PARTE 1 1117065-42.2025.4.01.3400_0cd41ec2.pdf,00010 Prisao preventiva - PARTE 1 1117065-42.2025.4.01.3400_0cd41ec2.pdf,408398675,application/pdf,2026-09-11T11:49:11Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOISY53PYMGESSVCJWWYVCQENP2GL
Inq 5026/00011 Prisao preventiva - PARTE 2 1117065-42.2025.4.01.3400_99179809.pdf,00011 Prisao preventiva - PARTE 2 1117065-42.2025.4.01.3400_99179809.pdf,52921,application/pdf,2026-09-11T11:48:45Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOISAISJQOYJMSVAYXLDIQE6JPHHH
Inq 5026/00012 Prisao preventiva - PARTE 3 1117065-42.2025.4.01.3400_6f802840.pdf,00012 Prisao preventiva - PARTE 3 1117065-42.2025.4.01.3400_6f802840.pdf,109173044,application/pdf,2026-09-11T11:45:43Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOIXBJ3LJKNYYANDZZRM22LZVSJD5
Inq 5026/00013 Documento comprobatorio - PEDIDO DE QUEBRA DE SIGILO DE DADOS EOU TELEFONICO Numero 1105912-12.2025.4.01.3400_168acb00.pdf,00013 Documento comprobatorio - PEDIDO DE QUEBRA DE SIGILO DE DADOS EOU TELEFONICO Numero 1105912-12.2025.4.01.3400_168acb00.pdf,211714617,application/pdf,2026-09-11T11:44:24Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOIWVW5N4P33A5BHLIEYH5ZZO2YT3
Inq 5026/00014 Certidao - Certidao de distribuicao de processo_32109716.pdf,00014 Certidao - Certidao de distribuicao de processo_32109716.pdf,59476,application/pdf,2026-09-11T11:46:09Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOIQL7EJXLQAAAVDKU4UMIIVM2PUG
Inq 5026/00015 Despacho - Despacho_1c15c814.pdf,00015 Despacho - Despacho_1c15c814.pdf,99320,application/pdf,2026-09-11T11:47:44Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOIWZIPKZRBXBMFHLKHGN6EOXKOD7
Inq 5026/00016 Certidao - Certidao de distribuicao de processo_3b47f1cd.pdf,00016 Certidao - Certidao de distribuicao de processo_3b47f1cd.pdf,59165,application/pdf,2026-09-11T11:44:28Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOITBPKPHM4DLBFAYSUSVZJR43MK7
Inq 5026/00017 Despacho - Despacho_aff16c2d.pdf,00017 Despacho - Despacho_aff16c2d.pdf,97840,application/pdf,2026-09-11T11:48:06Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOISLHHPDQH2MKBDLZEKCV7QT7E32
Inq 5026/00018 Despacho - Despacho_9f683241.pdf,00018 Despacho - Despacho_9f683241.pdf,103014,application/pdf,2026-09-11T11:45:57Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOIU5W6GUABQFMFDIWLNJGJ7KZW2W
Inq 5026/00019 Peticao - Peticao_5e26653a.pdf,00019 Peticao - Peticao_5e26653a.pdf,287577,application/pdf,2026-09-11T11:47:16Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOIS6HYA3BQNOTRE2YUO74ZSR3AOW
Inq 5026/00020 Procuracao - Procuracao_81de93e7.pdf,00020 Procuracao - Procuracao_81de93e7.pdf,423357,application/pdf,2026-09-11T11:47:47Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOIU5DYLATVB26RGLIDL7WJEXJM3K
Inq 5026/00021 Recibo de peticao eletronica - Recibo de Peticao Eletronica _57d269cc.pdf,00021 Recibo de peticao eletronica - Recibo de Peticao Eletronica _57d269cc.pdf,117225,application/pdf,2026-09-11T11:46:58Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOITPAQQLPERKERGLY5CGZC3HG527
Inq 5026/00022 Peticao - Peticao_dd44bedc.pdf,00022 Peticao - Peticao_dd44bedc.pdf,293979,application/pdf,2026-09-11T11:48:04Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOIUTPIXUQLNRYBFIBFZZFJTCYEUH
Inq 5026/00023 Procuracao - Procuracao_93ef8c9d.pdf,00023 Procuracao - Procuracao_93ef8c9d.pdf,730405,application/pdf,2026-09-11T11:48:54Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOIXAWXWIIT4LWZGLIXFOGE5L2WYU
Inq 5026/00024 Recibo de peticao eletronica - Recibo de Peticao Eletronica _86fab34b.pdf,00024 Recibo de peticao eletronica - Recibo de Peticao Eletronica _86fab34b.pdf,117173,application/pdf,2026-09-11T11:49:06Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOIVSXAG3ESW7HRAK5SLOOBAYHXYJ
Inq 5026/00025 Comunicacao assinada - Oficio 273642025. Comunica despachodecisao _SEJ_c015508c.pdf,00025 Comunicacao assinada - Oficio 273642025. Comunica despachodecisao _SEJ_c015508c.pdf,189807,application/pdf,2026-09-11T11:47:08Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOIWSSKP5A5DGPRGICBQLLKJAS6GK
Inq 5026/00026 Comunicacao assinada - Mandado 71902025. Mandado de intimacao - Audiencia_SEJ_e2a097b7.pdf,00026 Comunicacao assinada - Mandado 71902025. Mandado de intimacao - Audiencia_SEJ_e2a097b7.pdf,278228,application/pdf,2026-09-11T11:46:47Z,b!UHnDpQe660-WZsaVQH0P4thhF0W1f-VHnRtLslC3kh9FESNidMquSrvIc4SLGzgE,016MHNOIVF2IC3X3XWKNEJOTAHYPJHFXR2
