uf,ano,parada,r_codes,parada_inv,covid,total
13,2019,72.0,2317.0,72.0,0.0,18327
13,2022,88.0,1649.0,88.0,677.0,20155
13,2024,99.0,1564.0,99.0,58.0,20225
29,2019,615.0,11388.0,615.0,0.0,93365
29,2022,774.0,10364.0,774.0,3406.0,107641
29,2017,371.0,11638.0,371.0,0.0,90915
23,2017,584.0,2173.0,584.0,0.0,59263
23,2022,658.0,1491.0,658.0,2343.0,64664
29,2024,817.0,7018.0,817.0,171.0,106212
32,2023,174.0,192.0,174.0,144.0,27315
52,2023,394.0,635.0,394.0,492.0,45041
23,2024,683.0,1474.0,683.0,145.0,63496
53,2016,57.0,228.0,57.0,0.0,12050
32,2021,207.0,252.0,207.0,6292.0,32801
52,2021,491.0,676.0,491.0,18141.0,60712
31,2016,765.0,10960.0,765.0,0.0,135257
31,2020,1464.0,10514.0,1464.0,13445.0,152128
50,2018,137.0,330.0,137.0,0.0,16600
50,2021,231.0,680.0,231.0,6867.0,25049
15,2017,138.0,2686.0,138.0,0.0,39980
15,2019,225.0,3290.0,225.0,0.0,40599
25,2018,156.0,1456.0,156.0,0.0,26644
25,2021,247.0,1737.0,247.0,5970.0,34678
15,2022,285.0,3350.0,285.0,1656.0,45499
25,2023,193.0,1301.0,193.0,90.0,28773
50,2023,217.0,677.0,217.0,162.0,19638
51,2018,180.0,1040.0,180.0,0.0,18205
41,2017,528.0,1692.0,528.0,0.0,71633
27,2020,117.0,1496.0,117.0,3589.0,24148
52,2018,435.0,596.0,435.0,0.0,39507
41,2019,721.0,1785.0,721.0,0.0,74566
41,2024,961.0,1600.0,961.0,458.0,89122
33,2017,706.0,9320.0,706.0,0.0,136709
33,2019,1182.0,12027.0,1182.0,0.0,144600
41,2022,1033.0,2018.0,1033.0,4460.0,89808
33,2022,1599.0,13746.0,1599.0,5453.0,150806
33,2024,2572.0,10967.0,2572.0,397.0,148156
42,2017,277.0,1177.0,277.0,0.0,39919
15,2024,297.0,3120.0,297.0,147.0,45375
42,2024,456.0,1237.0,456.0,189.0,52224
35,2018,2378.0,14419.0,2378.0,0.0,298313
35,2021,3581.0,19397.0,3581.0,110401.0,431616
35,2023,3241.0,13630.0,3241.0,3162.0,334303
13,2017,42.0,2147.0,42.0,0.0,17281
23,2019,334.0,1643.0,334.0,0.0,56580
53,2020,114.0,345.0,114.0,3098.0,16218
51,2023,191.0,1035.0,191.0,132.0,21790
32,2018,141.0,164.0,141.0,0.0,23500
11,2017,59.0,469.0,59.0,0.0,8219
11,2019,68.0,521.0,68.0,0.0,8338
11,2022,83.0,769.0,83.0,604.0,10277
11,2024,84.0,629.0,84.0,38.0,10097
42,2019,348.0,1240.0,348.0,0.0,42282
28,2016,54.0,855.0,54.0,0.0,13516
16,2016,7.0,231.0,7.0,0.0,2995
16,2020,11.0,191.0,11.0,1113.0,4617
12,2016,19.0,243.0,19.0,0.0,3763
12,2020,19.0,662.0,19.0,809.0,4860
27,2016,41.0,930.0,41.0,0.0,20769
51,2021,160.0,1280.0,160.0,9216.0,28623
28,2020,64.0,1289.0,64.0,2342.0,15793
42,2022,469.0,1421.0,469.0,2250.0,51317
17,2016,27.0,162.0,27.0,0.0,7490
17,2020,83.0,244.0,83.0,1178.0,9271
13,2021,70.0,2178.0,70.0,9141.0,29080
13,2023,107.0,1589.0,107.0,98.0,20385
29,2018,565.0,10346.0,565.0,0.0,90134
29,2021,669.0,11458.0,669.0,17208.0,115392
13,2018,73.0,2158.0,73.0,0.0,17710
23,2018,387.0,1725.0,387.0,0.0,57028
23,2023,647.0,1339.0,647.0,239.0,60635
23,2021,963.0,2086.0,963.0,15754.0,73683
32,2022,178.0,352.0,178.0,1272.0,27992
32,2024,150.0,62.0,150.0,93.0,28142
52,2024,532.0,684.0,532.0,265.0,47830
21,2016,109.0,1786.0,109.0,0.0,34362
32,2019,203.0,208.0,203.0,0.0,24431
52,2022,410.0,724.0,410.0,2530.0,47270
50,2017,71.0,254.0,71.0,0.0,15954
50,2019,131.0,513.0,131.0,0.0,16815
50,2022,318.0,672.0,318.0,959.0,20434
15,2018,218.0,2837.0,218.0,0.0,40513
25,2019,168.0,1585.0,168.0,0.0,27378
25,2022,274.0,1848.0,274.0,988.0,32405
25,2024,198.0,1415.0,198.0,81.0,30153
51,2017,132.0,1036.0,132.0,0.0,17709
50,2024,252.0,695.0,252.0,106.0,19841
51,2019,142.0,1035.0,142.0,0.0,18341
15,2021,319.0,3525.0,319.0,10399.0,52166
26,2016,152.0,2696.0,152.0,0.0,66928
26,2020,289.0,3263.0,289.0,11428.0,76574
52,2017,200.0,961.0,200.0,0.0,39973
25,2017,109.0,1572.0,109.0,0.0,26975
41,2018,729.0,1604.0,729.0,0.0,73848
