uf,ano,mes,parada_30_59,parada_60mais,embolia,covid,total,UF
11,2018,1,0.0,5.0,1.0,0.0,697,RO
11,2018,2,1.0,5.0,2.0,0.0,553,RO
11,2018,3,1.0,6.0,1.0,0.0,686,RO
11,2018,4,2.0,7.0,0.0,0.0,666,RO
11,2018,5,1.0,8.0,2.0,0.0,720,RO
11,2018,6,2.0,10.0,1.0,0.0,665,RO
11,2018,7,0.0,3.0,0.0,0.0,712,RO
11,2018,8,0.0,3.0,0.0,0.0,691,RO
11,2018,9,3.0,5.0,4.0,0.0,728,RO
11,2018,10,1.0,7.0,3.0,0.0,658,RO
11,2018,11,1.0,10.0,1.0,0.0,659,RO
11,2018,12,1.0,12.0,0.0,0.0,730,RO
11,2019,1,2.0,4.0,1.0,0.0,720,RO
11,2019,2,0.0,4.0,3.0,0.0,606,RO
11,2019,3,1.0,3.0,1.0,0.0,711,RO
11,2019,4,1.0,4.0,1.0,0.0,771,RO
11,2019,5,2.0,7.0,1.0,0.0,755,RO
11,2019,6,2.0,5.0,2.0,0.0,656,RO
11,2019,7,1.0,4.0,2.0,0.0,702,RO
11,2019,8,0.0,4.0,2.0,0.0,685,RO
11,2019,9,0.0,5.0,2.0,0.0,712,RO
11,2019,10,0.0,8.0,1.0,0.0,658,RO
11,2019,11,1.0,5.0,6.0,0.0,687,RO
11,2019,12,1.0,4.0,2.0,0.0,675,RO
11,2020,1,1.0,7.0,2.0,0.0,677,RO
11,2020,2,0.0,2.0,1.0,0.0,639,RO
11,2020,3,2.0,0.0,1.0,2.0,749,RO
11,2020,4,0.0,6.0,3.0,21.0,696,RO
11,2020,5,1.0,5.0,2.0,175.0,886,RO
11,2020,6,0.0,7.0,2.0,396.0,1102,RO
11,2020,7,1.0,1.0,4.0,362.0,1021,RO
11,2020,8,1.0,3.0,5.0,294.0,1026,RO
11,2020,9,0.0,4.0,2.0,204.0,908,RO
11,2020,10,0.0,1.0,1.0,90.0,852,RO
11,2020,11,0.0,3.0,2.0,100.0,752,RO
11,2020,12,1.0,2.0,6.0,246.0,970,RO
11,2021,1,1.0,6.0,0.0,497.0,1276,RO
11,2021,2,1.0,1.0,0.0,677.0,1361,RO
11,2021,3,1.0,4.0,2.0,1333.0,2128,RO
11,2021,4,2.0,2.0,4.0,931.0,1663,RO
11,2021,5,2.0,5.0,1.0,534.0,1347,RO
11,2021,6,0.0,5.0,4.0,335.0,1048,RO
11,2021,7,3.0,4.0,1.0,197.0,933,RO
11,2021,8,1.0,4.0,5.0,101.0,889,RO
