UF,d_parada_pp,d_cardio_inesp_pp,d_R_pp,d_infarto_avc_pp,d_inespecificos_total_pp,covid_100k,vac2_pct
RJ,0.92,0.32,-0.92,-2.14,0.32,455.0,80.0
AC,0.9,0.17,-1.66,-1.3,-0.59,259.0,68.9
DF,0.84,0.42,-0.48,-2.18,0.78,321.0,80.5
AP,0.72,0.44,-3.05,2.65,-1.89,275.0,62.9
MS,0.49,0.7,0.45,-2.23,1.64,362.0,70.7
CE,0.49,0.18,-0.58,-2.99,0.08,328.0,85.8
SE,0.42,0.47,-1.47,-0.65,-0.58,275.0,81.0
AL,0.39,0.1,-0.16,-2.42,0.34,257.0,68.1
PI,0.32,0.11,-0.22,-2.74,0.21,245.0,86.7
PE,0.24,0.21,-0.13,-2.13,0.32,275.0,82.7
MA,0.24,-0.1,0.84,-2.12,0.98,193.0,66.1
RN,0.2,-0.17,0.23,-1.58,0.26,258.0,79.0
MT,0.14,0.0,-0.72,-0.36,-0.58,424.0,73.7
PR,0.11,0.44,-0.6,-2.09,-0.05,404.0,87.3
BA,0.11,0.21,-5.59,0.55,-5.27,212.0,71.1
AM,0.1,0.76,-4.91,0.66,-4.06,380.0,68.9
RS,0.1,0.18,-0.53,-1.36,-0.24,362.0,82.9
PA,0.1,0.11,-1.23,0.29,-1.02,232.0,75.5
SP,0.08,0.26,-0.91,-1.52,-0.57,384.0,89.0
SC,0.05,0.12,-0.56,-1.13,-0.39,311.0,81.8
PB,0.04,-0.03,-1.1,-1.35,-1.09,261.0,82.4
GO,0.03,0.26,-0.59,-0.95,-0.3,403.0,77.2
RO,0.02,0.17,-0.02,0.07,0.17,414.0,66.8
MG,-0.04,-0.01,-0.11,-1.8,-0.16,308.0,84.2
TO,-0.13,0.45,-1.25,-0.71,-0.93,269.0,65.4
RR,-0.15,0.55,0.19,0.22,0.59,350.0,61.0
ES,-0.3,-0.37,-0.63,-0.33,-1.3,309.0,77.9
