UF,alta_parada_ym,pico_covid_ym,vac1_30pct_ym
AC,202002.0,202103,202107
AL,202002.0,202006,202107
AM,202002.0,202101,202106
AP,202004.0,202005,202107
BA,202201.0,202103,202106
CE,202004.0,202005,202106
DF,202007.0,202104,202106
ES,,202104,202106
GO,202108.0,202103,202106
MA,202005.0,202103,202106
MG,202108.0,202104,202106
MS,202005.0,202104,202106
MT,202001.0,202103,202107
PA,202012.0,202005,202106
PB,202002.0,202103,202106
PE,202003.0,202005,202106
PI,202105.0,202104,202106
PR,202108.0,202103,202106
RJ,202207.0,202104,202106
RN,202102.0,202103,202106
RO,202204.0,202103,202107
RR,202106.0,202006,202107
RS,202207.0,202103,202106
SC,202205.0,202103,202106
SE,202201.0,202104,202106
SP,202007.0,202103,202106
TO,202005.0,202103,202107
