year,From 0 to 4 years,From 10 to 14 years,From 15 to 19 years,From 20 to 24 years,From 25 to 29 years,From 30 to 34 years,From 35 to 39 years,From 40 to 44 years,From 45 to 49 years,From 5 to 9 years,From 50 to 54 years,From 55 to 59 years,From 60 to 64 years,From 65 to 69 years,From 70 to 74 years,From 75 to 79 years,From 80 years or more,Total
2000.0,17281547,17599378,17831344,16402228,14351864,13422239,12466693,10836458,9013717,17378990,7227689,5653867,4702598,3678357,2861050,1955661,2032255,174695935
2001.0,17123682,17471598,17866394,16826765,14615238,13530676,12688799,11142331,9330172,17390172,7518204,5851451,4806742,3780931,2921197,2041751,2097640,177003743
2002.0,16906493,17382310,17852790,17170628,14939841,13661547,12872622,11441951,9647563,17379924,7812619,6084116,4903198,3897847,2979356,2122355,2173094,179228254
2003.0,16640256,17339680,17786266,17423254,15333558,13814692,13023806,11728336,9964049,17349975,8110948,6343976,5003998,4021700,3040807,2195538,2256815,181377654
2004.0,16343284,17333773,17669276,17594842,15782721,13989822,13144701,12004000,10278114,17303761,8414340,6619629,5126643,4143211,3111534,2261401,2348541,183469593
2005.0,16051105,17348818,17529669,17692430,16246883,14201339,13250847,12260309,10587977,17217876,8723481,6901895,5283875,4257110,3195545,2321382,2447828,185518369
2006.0,15806173,17360770,17403541,17729519,16671171,14465858,13363086,12484840,10894183,17064624,9036868,7187404,5480085,4360423,3295175,2377882,2553428,187535030
2007.0,15551584,17351252,17315686,17718310,17015501,14791185,13497650,12671341,11194570,16851635,9351745,7476626,5709753,4457236,3408093,2434058,2662602,189458827
2008.0,15329999,17322069,17274236,17653664,17268908,15184841,13653772,12825050,11481737,16589485,9665754,7769380,5964562,4558585,3527129,2493800,2772225,191335196
2009.0,15140576,17276557,17269246,17537757,17441074,15632885,13830610,12948212,11757813,16296374,9977148,8066745,6233103,4680497,3643552,2561265,2880622,193174036
2010.0,14926565,17190853,17259413,17342029,17495165,16070561,14030008,13050194,12011024,16004125,10282765,8368585,6506111,4834001,3751073,2638919,2987938,194749329
2011.0,14732570,17038072,17243723,17119673,17446896,16442984,14268313,13151709,12229235,15753231,10583510,8673577,6780625,5023324,3846995,2728590,3095583,196158610
2012.0,14645770,16826125,17229588,16972759,17368088,16743841,14570747,13277609,12411080,15491395,10879624,8980511,7058626,5243714,3937151,2829303,3204689,197670620
2013.0,14585062,16564772,17206161,16901546,17249607,16959710,14943408,13426443,12562179,15260323,11163974,9287954,7340839,5487937,4033035,2935546,3318206,199226702
2014.0,14577213,16271685,17167306,16881653,17083824,17093629,15368951,13595209,12683653,15057076,11438105,9594131,7628290,5744488,4149327,3039228,3437363,200811131
2015.0,14679432,15981250,17083436,16884209,16891598,17146715,15804201,13795937,12789586,14841043,11692112,9896505,7920595,6003954,4295314,3135824,3561931,202403642
2016.0,14705019,15735526,16928752,16881225,16709087,17130841,16193758,14044561,12900047,14662314,11913912,10195495,8216199,6263777,4473831,3222678,3694903,203871925
2017.0,14647172,15476458,16710472,16849457,16561616,17057982,16497632,14348880,13030828,14581565,12098199,10489406,8513342,6526372,4679977,3303961,3838238,205211557
2018.0,14636517,15246274,16442716,16789776,16458030,16923303,16704948,14716637,13180984,14518069,12250934,10771332,8811121,6792471,4906761,3390210,3988955,206529038
2019.0,14570633,15044385,16161907,16747832,16422394,16749485,16835434,15139454,13351888,14506665,12375336,11043925,9108783,7063146,5143637,3494991,4140204,207900099
2020.0,14349330,14830142,15893053,16702146,16444118,16568380,16894066,15573832,13551797,14609239,12479823,11289520,9393944,7327104,5371619,3617077,4269699,209164889
2021.0,14102904,14653596,15663254,16592992,16472924,16402795,16881731,15954195,13784994,14638890,12571720,11480530,9652901,7569190,5575893,3748227,4356906,210103642
2022.0,13820837,14575329,15402409,16396616,16468095,16272969,16815501,16252122,14076325,14588148,12689175,11640958,9914466,7821332,5784463,3903952,4440286,210862983
2023.0,13421242,14515508,15169410,16138175,16438813,16195503,16698355,16465713,14444516,14589745,12842259,11794428,10188680,8102632,6020674,4096575,4572930,211695158
2024.0,13017992,14505688,14971635,15865912,16412695,16173530,16535070,16599453,14865387,14531027,13013766,11921981,10456033,8389270,6269517,4303589,4751205,212583750
