year,From 0 to 4 years,From 10 to 14 years,From 15 to 19 years,From 20 to 24 years,From 25 to 29 years,From 30 to 34 years,From 35 to 39 years,From 40 to 44 years,From 45 to 49 years,From 5 to 9 years,From 50 to 54 years,From 55 to 59 years,From 60 to 64 years,From 65 to 69 year,From 70 to 74 years,From 75 to 79 years,From 80 to 84 years,From 85 to 89 years,From 90 years or more,Total
2010.0,14858280.0,17397304.0,17219086.0,17476779.0,17334110.0,15955949.0,14075108.0,13184169.999999998,11992439.0,15865195.0,10276773.0,8387563.999999998,6596741.000000001,4905988.0,3792041.9999999995,2597989.9999999995,1689444.0,830528.9999999999,455191.00000000006,194890682.0
2011.0,14697433.0,17216843.0,17238401.0,17396868.0,17423848.0,16275019.0,14350827.0,13311309.0,12218181.0,15600504.0,10574366.0,8679820.0,6859058.0,5095515.999999999,3889351.999999999,2688797.9999999995,1727063.0,901360.0000000001,459166.0,196603732.0
2012.0,14624301.0,16880174.0,17315601.0,17296030.0,17454135.0,16567575.0,14689557.999999998,13414041.0,12426314.0,15387507.0,10868062.0,8977656.0,7119004.0,5318713.0,3974955.0000000005,2797237.0,1764898.0,954569.9999999999,484603.00000000006,198314934.0
2013.0,14567170.0,16495325.0,17402809.0,17195219.0,17436877.0,16822855.0,15066579.0,13519509.0,12615601.0,15203144.999999998,11152415.0,9278724.000000002,7379911.999999999,5565313.0,4063518.9999999995,2913384.0,1807817.0,996763.0000000001,521252.0,200004188.0
2014.0,14570070.0,16131984.0,17424089.0,17124785.0,17391346.0,17028854.0,15441748.0,13668342.999999998,12784211.0,15029641.000000002,11419932.999999998,9579705.0,7647936.0,5819304.0,4175946.999999999,3023576.0000000005,1861166.0,1032554.0,562348.9999999999,201717541.0
2015.0,14677159.0,15840860.0,17334096.0,17100769.0,17331851.0,17178656.0,15787821.0,13884283.0,12933598.0,14824271.0,11666086.0,9877881.0,7926230.0,6071239.999999999,4323465.0,3121817.9999999995,1926870.9999999998,1065148.0,603580.0,203475683.0
2016.0,14715112.000000002,15577214.0,17155615.0,17122881.0,17256322.0,17271648.0,16107942.999999998,14161177.999999998,13064058.0,14664918.0,11892707.0,10172542.0,8211893.0,6322754.999999999,4501441.0,3211601.0000000005,2004365.0000000002,1097016.9999999998,645377.0,205156587.0
2017.0,14720776.040334191,15365237.071669966,16821630.10041552,17203519.97734687,17161678.99678943,17306947.059440818,16402814.966435667,14500831.035901768,13171047.988880133,14593299.026238218,12102371.049704412,10463715.951964946,8503041.968321672,6572589.941987524,4709484.006723885,3292375.021313546,2095234.9961137185,1129488.993625878,688656.9994056486,206804741.1926138
2018.0,14787556.98899,15182024.04405,16439845.97399,17294779.89387,17068593.01508,17296659.12782,16661964.97817,14879034.99529,13281286.93589,14537829.05826,12293931.97193,10746091.08319,8797470.04656,6823731.00331,4938529.103595,3376250.047707,2191860.01045,1165516.995114,731944.9944397,208494900.26770568
2019.0,14798332.19074,15009676.06331,16079464.06066,17319853.06902,17004904.11818,17258318.02035,16872342.06842,15255513.14524,13434076.02018,14542131.99842,12465329.05023,11012111.14442,9091909.95015,7081680.02883,5174388.047395,3480535.993414,2283815.002494,1208442.004944,774303.9932983,210147125.9696953
2020.0,14730310.96547,14805478.012,15790862.9832,17233265.84991,16985866.06247,17205415.97309,17026545.20765,15602973.88939,13652503.97975,14650311.02796,12617803.90029,11257277.02205,9383727.88303,7349243.90548,5408663.004914,3614389.027163,2366557.990702,1259329.990887,815165.0085869,211755691.68399292
2021.0,14703280.92141,14647163.96887,15529386.87652,17057793.97934,17011217.86947,17135646.02565,17123723.02799,15924417.09309,13930419.991,14689393.96471,12751591.96792,11483367.94711,9672174.97461,7623733.08362,5642900.96834,3774018.03063,2443190.991133,1318006.00203,856211.0109216,213317638.6943646
2022.0,14675523.01326,14576190.96257,15318915.9065,16726717.00374,17092427.03348,17044189.79933,17161844.02192,16219710.02868,14269003.94628,14695773.08946,12861867.00888,11692613.01901,9957155.95713,7903288.0021399995,5876090.90634,3959069.984626,2513705.980227,1385730.998341,898723.011314,214828539.673228
2023.0,14569055.04402,14520971.94357,15136922.97219,16347561.01505,17182193.12297,16951250.98025,17152615.90867,16478229.01694,14644402.06085,14762670.98919,12974530.10832,11883879.91544,10233460.00756,8185834.08459,6110753.9996,4161906.0731,2587330.041411,1457236.003234,943465.9976625,216284269.2846175
2024.0,14452355.00214,14525347.06422,14965723.90597,15989803.14749,17206153.07563,16886952.21212,17115112.01041,16688213.00273,15017932.96905,14773628.05879,13128537.97045,12055490.14749,10493988.03345,8468411.07386,6351769.09448,4370672.941904,2677250.999904,1525459.00887,991662.9894119,217684462.7083699
2025.0,14326234.06224,14633526.08755,14762868.98794,15703800.1187,17119972.05569,16867543.14759,17063584.0661,16842845.94224,15363170.97922,14705940.93545,13346782.04896,12208750.93944,10734491.00773,8748626.97813,6601499.91339,4578360.972177,2790279.947037,1587404.987268,1043410.0043739,219029093.18122593
2026.0,14192256.08216,14672711.03708,14605891.02133,15444924.18459,16946247.11317,16892885.1397,16995707.13084,16941312.09973,15683088.857,14679310.93029,13623236.8677,12343962.98865,10956693.04415,9025765.92375,6857600.00062,4786387.049991,2923509.029298,1645581.01384,1099461.001654,220316530.515543
2027.0,14053426.04434,14679300.00476,14536018.99008,15236870.87668,16618500.03024,16974394.91344,16906691.08701,16981680.89578,15977566.9378,14652033.06358,13959029.88492,12456465.01092,11162775.9232,9299757.02792,7118354.07179,4994113.918252,3076686.92673,1700355.994514,1161212.015678,221545233.61763397
2028.0,13912226.00601,14746431.99709,14481941.98688,15057313.08488,16243415.01988,17065210.99704,16816670.04297,16975459.09023,16236138.9457,14546207.91643,14330885.05499,12571436.02286,11351608.96793,9565626.91587,7381901.98598,5203523.070933,3243763.065182,1758055.980144,1225853.003424,222713669.154423
2029.0,13770271.84218,14757723.97931,14487286.04401,14888502.9451,15889766.02542,17091061.90621,16755274.11114,16941357.1496,16446903.02282,14430225.9577,14700983.86164,12726472.94528,11521659.86464,9816553.99466,7645534.00485,5418622.039163,3415648.99231,1827478.013819,1289977.999122,223821304.698974
2030.0,13629814.84852,14690422.9509,14596110.01673,14688174.97945,15607290.88803,17007392.94243,16738294.07999,16893255.97039,16602925.78618,14304778.00645,15043387.89146,12943766.04001,11673982.02807,10048512.01225,7907039.95865,5641260.019264,3586931.042552,1913019.994878,1352101.9858890001,224868461.44209298
