ano,mes,dias,COVID,SRAG,PNEUMONIA,INSUFICIENCIA_RESPIRATORIA,SEPTICEMIA,INDETERMINADA,OUTRAS
2023,1,31,1755,242,12596,6034,12328,520,40265
2023,2,28,627,172,11220,5565,11648,448,36770
2023,3,31,843,220,13907,6438,13108,509,41004
2023,4,30,768,278,14667,6364,12783,509,41668
2023,5,31,588,309,16871,6916,13435,571,44218
2023,6,30,467,301,16896,6676,13131,593,44665
2023,7,31,281,261,17359,6899,13687,593,44662
2023,8,31,244,211,15366,6517,13306,519,42741
2023,9,30,414,224,14970,6160,12989,527,40681
2023,10,31,688,205,14718,6058,13209,489,41129
2023,11,30,800,231,14965,6058,13425,560,40952
2023,12,31,576,187,14215,6116,13571,499,40969
2024,1,31,493,233,13950,6161,13477,547,40246
2024,2,29,777,206,13563,5982,12747,542,38714
2024,3,31,900,243,16607,6883,14442,621,43654
2024,4,30,297,281,17919,6928,14265,565,43067
2024,5,31,136,291,19711,7113,14714,585,45241
2024,6,30,120,231,19039,6892,14270,626,43289
2024,7,31,135,256,19391,7005,14483,640,45598
2024,8,31,257,245,18198,6847,14089,533,43932
2024,9,30,474,253,17583,6594,13653,575,41227
2024,10,31,297,244,16389,6438,13814,555,40790
2024,11,30,267,212,14951,6067,12916,547,39001
2024,12,31,382,251,15755,6511,14045,583,41322
2025,1,31,438,224,16564,6734,14919,661,43295
2025,2,28,363,205,14370,6204,13741,549,39236
2025,3,31,260,229,16434,6900,15196,573,42989
2025,4,30,102,231,16976,7009,14875,565,42909
2025,5,31,107,430,22359,8133,16415,753,48452
2025,6,30,81,440,23301,8099,16251,763,48890
2025,7,31,74,343,21483,7985,16404,721,50125
2025,8,31,162,284,18957,7895,16123,711,47091
2025,9,30,223,203,17288,7261,15163,660,44065
2025,10,31,218,203,16729,7339,15504,667,43814
2025,11,30,164,196,15782,7173,14968,610,41737
2025,12,31,141,229,16392,7487,15883,701,43830
2026,1,31,124,192,15402,7467,15624,667,42098
2026,2,28,128,180,13756,6668,14187,608,37728
2026,3,31,129,195,16636,7658,16015,660,42940
2026,4,30,84,216,16772,7435,15358,637,41399
2026,5,31,51,238,18180,8215,16265,691,44747
2026,6,30,57,246,19079,8498,16168,775,45832
2026,7,31,30,203,19529,8501,16664,755,45488
2026,8,31,17,156,14563,6533,13264,618,36378
