ano,mes,obitos_rc
2015,1,103653
2015,2,86052
2015,3,97112
2015,4,98383
2015,5,102831
2015,6,104432
2015,7,104674
2015,8,92594
2015,9,95056
2015,10,93514
2015,11,89220
2015,12,94130
2016,1,96352
2016,2,95399
2016,3,104530
2016,4,102911
2016,5,107586
2016,6,109854
2016,7,106134
2016,8,107079
2016,9,97280
2016,10,96998
2016,11,92547
2016,12,93112
2017,1,98938
2017,2,81921
2017,3,106682
2017,4,93204
2017,5,110247
2017,6,105390
2017,7,110920
2017,8,110366
2017,9,99490
2017,10,103692
2017,11,97418
2017,12,98964
2018,1,108104
2018,2,91674
2018,3,102235
2018,4,106215
2018,5,111900
2018,6,113186
2018,7,118799
2018,8,115114
2018,9,103172
2018,10,109349
2018,11,102208
2018,12,100467
2019,1,115286
2019,2,97796
2019,3,103317
2019,4,111289
2019,5,118666
2019,6,111179
2019,7,128300
2019,8,116591
2019,9,112325
2019,10,113237
2019,11,103071
2019,12,105065
2020,1,117382
2020,2,97935
2020,3,111672
2020,4,118298
2020,5,137120
2020,6,142006
2020,7,145405
2020,8,137193
2020,9,130601
2020,10,127376
2020,11,120160
2020,12,135378
2021,1,142446
2021,2,130510
2021,3,196181
2021,4,195960
2021,5,172071
2021,6,172555
2021,7,156758
2021,8,144614
2021,9,125818
2021,10,117811
2021,11,119204
2021,12,122495
2022,1,153613
2022,2,133518
2022,3,129403
2022,4,111575
2022,5,128415
2022,6,135077
2022,7,132335
2022,8,130942
2022,9,119861
2022,10,115565
2022,11,115290
2022,12,116970
2023,1,118880
2023,2,102414
2023,3,121996
2023,4,113904
2023,5,131797
2023,6,128857
2023,7,129341
2023,8,127123
2023,9,116135
2023,10,121706
2023,11,121135
2023,12,115603
2024,1,123626
2024,2,113372
2024,3,121009
2024,4,136264
2024,5,133937
2024,6,128675
2024,7,139000
2024,8,130207
2024,9,124808
2024,10,126553
2024,11,113564
2024,12,116345
2025,1,128973
2025,2,111893
2025,3,116387
2025,4,120995
2025,5,134854
2025,6,138333
2025,7,145129
2025,8,130028
2025,9,126865
2025,10,125026
2025,11,112263
2025,12,122171
2026,1,124234
2026,2,107799
2026,3,125399
2026,4,120436
2026,5,122249
2026,6,132484
2026,7,138426
2026,8,118938
