ano,mes,faixa,sexo,grupo,subgrupo,obitos
1996,1,0-9,F,circulatorio,cardiomiopatia_i42_i43,5
1996,1,0-9,F,circulatorio,cardiopatia_mal_definida_i51,2
1996,1,0-9,F,circulatorio,cerebrovascular_i60_i69,7
1996,1,0-9,F,circulatorio,circulatorio_outras,6
1996,1,0-9,F,circulatorio,insuf_cardiaca_i50,11
1996,1,0-9,F,circulatorio,parada_arritmia_i46_i49,2
1996,1,0-9,F,digestivo,"",30
1996,1,0-9,F,endocrino_diabetes,"",75
1996,1,0-9,F,endocrino_diabetes,diabetes_e10_e14,4
1996,1,0-9,F,externas,"",215
1996,1,0-9,F,geniturinario,"",14
1996,1,0-9,F,infecciosas,"",363
1996,1,0-9,F,infecciosas,sepse_a40_a41,111
1996,1,0-9,F,mal_definidas,"",493
1996,1,0-9,F,neoplasias,cancer_hematologico_c81_c96,17
1996,1,0-9,F,neoplasias,cancer_outros_c00_c97,29
1996,1,0-9,F,neoplasias,neoplasia_in_situ_benigna_d00_d48,4
1996,1,0-9,F,neuro_mentais,"",86
1996,1,0-9,F,outras,"",1696
1996,1,0-9,F,respiratorio,"",68
1996,1,0-9,F,respiratorio,pneumonia_j12_j18,220
1996,1,0-9,I,externas,"",2
1996,1,0-9,I,infecciosas,"",4
1996,1,0-9,I,mal_definidas,"",4
1996,1,0-9,I,neoplasias,cancer_hematologico_c81_c96,1
1996,1,0-9,I,outras,"",61
1996,1,0-9,I,respiratorio,pneumonia_j12_j18,5
1996,1,0-9,M,circulatorio,cardiomiopatia_i42_i43,6
1996,1,0-9,M,circulatorio,cardiopatia_mal_definida_i51,7
1996,1,0-9,M,circulatorio,cerebrovascular_i60_i69,8
1996,1,0-9,M,circulatorio,circulatorio_outras,8
1996,1,0-9,M,circulatorio,embolia_pulmonar_i26,2
1996,1,0-9,M,circulatorio,insuf_cardiaca_i50,6
1996,1,0-9,M,circulatorio,miocardite_i40_i41,2
1996,1,0-9,M,circulatorio,parada_arritmia_i46_i49,2
1996,1,0-9,M,digestivo,"",30
1996,1,0-9,M,endocrino_diabetes,"",100
1996,1,0-9,M,endocrino_diabetes,diabetes_e10_e14,3
1996,1,0-9,M,externas,"",329
1996,1,0-9,M,geniturinario,"",21
1996,1,0-9,M,infecciosas,"",427
1996,1,0-9,M,infecciosas,sepse_a40_a41,136
1996,1,0-9,M,mal_definidas,"",652
1996,1,0-9,M,neoplasias,cancer_hematologico_c81_c96,27
1996,1,0-9,M,neoplasias,cancer_outros_c00_c97,34
1996,1,0-9,M,neoplasias,cancer_pulmao_c34,1
1996,1,0-9,M,neoplasias,neoplasia_in_situ_benigna_d00_d48,8
1996,1,0-9,M,neuro_mentais,"",108
1996,1,0-9,M,outras,"",2206
1996,1,0-9,M,respiratorio,"",88
1996,1,0-9,M,respiratorio,pneumonia_j12_j18,274
1996,1,10-19,F,circulatorio,cardiomiopatia_i42_i43,2
1996,1,10-19,F,circulatorio,cardiopatia_mal_definida_i51,2
1996,1,10-19,F,circulatorio,cerebrovascular_i60_i69,11
1996,1,10-19,F,circulatorio,circulatorio_outras,16
1996,1,10-19,F,circulatorio,embolia_pulmonar_i26,4
1996,1,10-19,F,circulatorio,hipertensao_i10,1
1996,1,10-19,F,circulatorio,infarto_agudo_i21_i22,3
1996,1,10-19,F,circulatorio,insuf_cardiaca_i50,5
1996,1,10-19,F,circulatorio,parada_arritmia_i46_i49,1
1996,1,10-19,F,digestivo,"",21
1996,1,10-19,F,endocrino_diabetes,"",6
1996,1,10-19,F,endocrino_diabetes,diabetes_e10_e14,7
1996,1,10-19,F,externas,"",322
1996,1,10-19,F,geniturinario,"",7
1996,1,10-19,F,infecciosas,"",31
1996,1,10-19,F,infecciosas,sepse_a40_a41,16
1996,1,10-19,F,mal_definidas,"",59
1996,1,10-19,F,neoplasias,cancer_hematologico_c81_c96,19
1996,1,10-19,F,neoplasias,cancer_outros_c00_c97,31
1996,1,10-19,F,neoplasias,cancer_pulmao_c34,1
1996,1,10-19,F,neoplasias,neoplasia_in_situ_benigna_d00_d48,1
1996,1,10-19,F,neuro_mentais,"",28
1996,1,10-19,F,outras,"",43
1996,1,10-19,F,respiratorio,"",22
1996,1,10-19,F,respiratorio,pneumonia_j12_j18,26
1996,1,10-19,I,externas,"",2
1996,1,10-19,I,mal_definidas,"",2
1996,1,10-19,I,respiratorio,"",1
1996,1,10-19,M,circulatorio,cardiomiopatia_i42_i43,3
1996,1,10-19,M,circulatorio,cardiopatia_mal_definida_i51,2
1996,1,10-19,M,circulatorio,cerebrovascular_i60_i69,12
1996,1,10-19,M,circulatorio,circulatorio_outras,28
1996,1,10-19,M,circulatorio,infarto_agudo_i21_i22,6
1996,1,10-19,M,circulatorio,insuf_cardiaca_i50,8
1996,1,10-19,M,circulatorio,isquemica_outras_i20_i25,1
1996,1,10-19,M,circulatorio,parada_arritmia_i46_i49,1
1996,1,10-19,M,digestivo,"",17
1996,1,10-19,M,endocrino_diabetes,"",7
1996,1,10-19,M,endocrino_diabetes,diabetes_e10_e14,3
1996,1,10-19,M,externas,"",1245
1996,1,10-19,M,geniturinario,"",7
1996,1,10-19,M,infecciosas,"",41
1996,1,10-19,M,infecciosas,sepse_a40_a41,24
1996,1,10-19,M,mal_definidas,"",118
1996,1,10-19,M,neoplasias,cancer_estomago_c16,1
1996,1,10-19,M,neoplasias,cancer_hematologico_c81_c96,32
1996,1,10-19,M,neoplasias,cancer_outros_c00_c97,38
1996,1,10-19,M,neoplasias,neoplasia_in_situ_benigna_d00_d48,4
1996,1,10-19,M,neuro_mentais,"",38
1996,1,10-19,M,outras,"",27
1996,1,10-19,M,respiratorio,"",29
1996,1,10-19,M,respiratorio,pneumonia_j12_j18,32
1996,1,20-29,F,circulatorio,cardiomiopatia_i42_i43,4
1996,1,20-29,F,circulatorio,cardiopatia_mal_definida_i51,1
1996,1,20-29,F,circulatorio,cerebrovascular_i60_i69,39
