ano,mes,faixa,sexo,grupo,subgrupo,obitos
2024,1,0-9,F,circulatorio,cardiomiopatia_i42_i43,5
2024,1,0-9,F,circulatorio,cerebrovascular_i60_i69,3
2024,1,0-9,F,circulatorio,circulatorio_outras,2
2024,1,0-9,F,circulatorio,isquemica_outras_i20_i25,2
2024,1,0-9,F,circulatorio,miocardite_i40_i41,3
2024,1,0-9,F,covid,"",7
2024,1,0-9,F,digestivo,"",29
2024,1,0-9,F,endocrino_diabetes,"",21
2024,1,0-9,F,endocrino_diabetes,diabetes_e10_e14,2
2024,1,0-9,F,externas,"",115
2024,1,0-9,F,geniturinario,"",12
2024,1,0-9,F,infecciosas,"",43
2024,1,0-9,F,infecciosas,sepse_a40_a41,27
2024,1,0-9,F,mal_definidas,"",48
2024,1,0-9,F,neoplasias,cancer_hematologico_c81_c96,18
2024,1,0-9,F,neoplasias,cancer_outros_c00_c97,29
2024,1,0-9,F,neoplasias,neoplasia_in_situ_benigna_d00_d48,1
2024,1,0-9,F,neuro_mentais,"",49
2024,1,0-9,F,outras,"",975
2024,1,0-9,F,respiratorio,"",26
2024,1,0-9,F,respiratorio,pneumonia_j12_j18,34
2024,1,0-9,I,digestivo,"",1
2024,1,0-9,I,outras,"",8
2024,1,0-9,M,circulatorio,cardiomiopatia_i42_i43,3
2024,1,0-9,M,circulatorio,cerebrovascular_i60_i69,7
2024,1,0-9,M,circulatorio,circulatorio_outras,8
2024,1,0-9,M,circulatorio,embolia_pulmonar_i26,2
2024,1,0-9,M,circulatorio,infarto_agudo_i21_i22,1
2024,1,0-9,M,circulatorio,isquemica_outras_i20_i25,2
2024,1,0-9,M,circulatorio,miocardite_i40_i41,2
2024,1,0-9,M,circulatorio,trombose_venosa_i80_i82,1
2024,1,0-9,M,covid,"",7
2024,1,0-9,M,digestivo,"",34
2024,1,0-9,M,endocrino_diabetes,"",15
2024,1,0-9,M,externas,"",168
2024,1,0-9,M,geniturinario,"",16
2024,1,0-9,M,infecciosas,"",56
2024,1,0-9,M,infecciosas,sepse_a40_a41,26
2024,1,0-9,M,mal_definidas,"",59
2024,1,0-9,M,neoplasias,cancer_hematologico_c81_c96,19
2024,1,0-9,M,neoplasias,cancer_outros_c00_c97,14
2024,1,0-9,M,neoplasias,neoplasia_in_situ_benigna_d00_d48,1
2024,1,0-9,M,neuro_mentais,"",52
2024,1,0-9,M,outras,"",1217
2024,1,0-9,M,respiratorio,"",31
2024,1,0-9,M,respiratorio,pneumonia_j12_j18,43
2024,1,10-19,F,circulatorio,cerebrovascular_i60_i69,5
2024,1,10-19,F,circulatorio,circulatorio_outras,4
2024,1,10-19,F,circulatorio,hipertensao_i10,1
2024,1,10-19,F,circulatorio,infarto_agudo_i21_i22,2
2024,1,10-19,F,circulatorio,parada_arritmia_i46_i49,1
2024,1,10-19,F,circulatorio,trombose_venosa_i80_i82,2
2024,1,10-19,F,covid,"",1
2024,1,10-19,F,digestivo,"",8
2024,1,10-19,F,endocrino_diabetes,"",12
2024,1,10-19,F,endocrino_diabetes,diabetes_e10_e14,4
2024,1,10-19,F,externas,"",144
2024,1,10-19,F,geniturinario,"",6
2024,1,10-19,F,infecciosas,"",16
2024,1,10-19,F,infecciosas,sepse_a40_a41,7
2024,1,10-19,F,mal_definidas,"",21
2024,1,10-19,F,neoplasias,cancer_hematologico_c81_c96,11
2024,1,10-19,F,neoplasias,cancer_outros_c00_c97,21
2024,1,10-19,F,neoplasias,cancer_pulmao_c34,1
2024,1,10-19,F,neoplasias,neoplasia_in_situ_benigna_d00_d48,3
2024,1,10-19,F,neuro_mentais,"",33
2024,1,10-19,F,outras,"",42
2024,1,10-19,F,respiratorio,"",9
2024,1,10-19,F,respiratorio,pneumonia_j12_j18,10
2024,1,10-19,I,externas,"",1
2024,1,10-19,M,circulatorio,cardiomiopatia_i42_i43,3
2024,1,10-19,M,circulatorio,cardiopatia_mal_definida_i51,3
2024,1,10-19,M,circulatorio,cerebrovascular_i60_i69,5
2024,1,10-19,M,circulatorio,circulatorio_outras,4
2024,1,10-19,M,circulatorio,embolia_pulmonar_i26,3
2024,1,10-19,M,circulatorio,infarto_agudo_i21_i22,5
2024,1,10-19,M,circulatorio,insuf_cardiaca_i50,2
2024,1,10-19,M,circulatorio,isquemica_outras_i20_i25,2
2024,1,10-19,M,circulatorio,miocardite_i40_i41,1
2024,1,10-19,M,circulatorio,parada_arritmia_i46_i49,2
2024,1,10-19,M,circulatorio,trombose_venosa_i80_i82,1
2024,1,10-19,M,digestivo,"",18
2024,1,10-19,M,endocrino_diabetes,"",3
2024,1,10-19,M,endocrino_diabetes,diabetes_e10_e14,4
2024,1,10-19,M,externas,"",772
2024,1,10-19,M,geniturinario,"",8
2024,1,10-19,M,infecciosas,"",19
2024,1,10-19,M,infecciosas,sepse_a40_a41,4
2024,1,10-19,M,mal_definidas,"",53
2024,1,10-19,M,neoplasias,cancer_hematologico_c81_c96,36
2024,1,10-19,M,neoplasias,cancer_outros_c00_c97,27
2024,1,10-19,M,neuro_mentais,"",57
2024,1,10-19,M,outras,"",22
2024,1,10-19,M,respiratorio,"",10
2024,1,10-19,M,respiratorio,pneumonia_j12_j18,17
2024,1,20-29,F,circulatorio,cardiomiopatia_i42_i43,5
2024,1,20-29,F,circulatorio,cardiopatia_mal_definida_i51,5
2024,1,20-29,F,circulatorio,cerebrovascular_i60_i69,19
2024,1,20-29,F,circulatorio,circulatorio_outras,16
2024,1,20-29,F,circulatorio,embolia_pulmonar_i26,6
2024,1,20-29,F,circulatorio,infarto_agudo_i21_i22,12
2024,1,20-29,F,circulatorio,insuf_cardiaca_i50,6
2024,1,20-29,F,circulatorio,isquemica_outras_i20_i25,1
2024,1,20-29,F,circulatorio,miocardite_i40_i41,1
2024,1,20-29,F,circulatorio,parada_arritmia_i46_i49,3
2024,1,20-29,F,circulatorio,trombose_venosa_i80_i82,2
2024,1,20-29,F,covid,"",3
2024,1,20-29,F,digestivo,"",28
2024,1,20-29,F,endocrino_diabetes,"",15
2024,1,20-29,F,endocrino_diabetes,diabetes_e10_e14,17
2024,1,20-29,F,externas,"",320
2024,1,20-29,F,geniturinario,"",27
2024,1,20-29,F,infecciosas,"",58
2024,1,20-29,F,infecciosas,sepse_a40_a41,12
2024,1,20-29,F,mal_definidas,"",54
2024,1,20-29,F,neoplasias,cancer_colorretal_c18_c21,6
2024,1,20-29,F,neoplasias,cancer_estomago_c16,4
2024,1,20-29,F,neoplasias,cancer_hematologico_c81_c96,21
2024,1,20-29,F,neoplasias,cancer_mama_c50,14
2024,1,20-29,F,neoplasias,cancer_outros_c00_c97,71
2024,1,20-29,F,neoplasias,cancer_pancreas_c25,1
2024,1,20-29,F,neoplasias,cancer_pulmao_c34,2
2024,1,20-29,F,neoplasias,neoplasia_in_situ_benigna_d00_d48,4
2024,1,20-29,F,neuro_mentais,"",39
2024,1,20-29,F,outras,"",85
2024,1,20-29,F,respiratorio,"",18
2024,1,20-29,F,respiratorio,pneumonia_j12_j18,21
2024,1,20-29,I,externas,"",2
2024,1,20-29,M,circulatorio,cardiomiopatia_i42_i43,14
2024,1,20-29,M,circulatorio,cerebrovascular_i60_i69,28
2024,1,20-29,M,circulatorio,circulatorio_outras,17
2024,1,20-29,M,circulatorio,embolia_pulmonar_i26,6
2024,1,20-29,M,circulatorio,hipertensao_i10,8
2024,1,20-29,M,circulatorio,infarto_agudo_i21_i22,30
2024,1,20-29,M,circulatorio,insuf_cardiaca_i50,10
2024,1,20-29,M,circulatorio,isquemica_outras_i20_i25,7
2024,1,20-29,M,circulatorio,miocardite_i40_i41,1
2024,1,20-29,M,circulatorio,parada_arritmia_i46_i49,4
2024,1,20-29,M,circulatorio,trombose_venosa_i80_i82,3
2024,1,20-29,M,covid,"",3
2024,1,20-29,M,digestivo,"",65
2024,1,20-29,M,endocrino_diabetes,"",22
2024,1,20-29,M,endocrino_diabetes,diabetes_e10_e14,16
2024,1,20-29,M,externas,"",2453
2024,1,20-29,M,geniturinario,"",25
2024,1,20-29,M,infecciosas,"",114
2024,1,20-29,M,infecciosas,sepse_a40_a41,17
2024,1,20-29,M,mal_definidas,"",142
2024,1,20-29,M,neoplasias,cancer_colorretal_c18_c21,7
2024,1,20-29,M,neoplasias,cancer_estomago_c16,2
2024,1,20-29,M,neoplasias,cancer_hematologico_c81_c96,38
2024,1,20-29,M,neoplasias,cancer_outros_c00_c97,74
2024,1,20-29,M,neoplasias,cancer_pancreas_c25,2
2024,1,20-29,M,neoplasias,cancer_pulmao_c34,9
2024,1,20-29,M,neoplasias,neoplasia_in_situ_benigna_d00_d48,5
2024,1,20-29,M,neuro_mentais,"",84
2024,1,20-29,M,outras,"",46
2024,1,20-29,M,respiratorio,"",42
2024,1,20-29,M,respiratorio,pneumonia_j12_j18,41
2024,1,30-39,F,circulatorio,cardiomiopatia_i42_i43,9
2024,1,30-39,F,circulatorio,cardiopatia_mal_definida_i51,8
2024,1,30-39,F,circulatorio,cerebrovascular_i60_i69,52
2024,1,30-39,F,circulatorio,circulatorio_outras,33
2024,1,30-39,F,circulatorio,embolia_pulmonar_i26,35
2024,1,30-39,F,circulatorio,hipertensao_i10,8
2024,1,30-39,F,circulatorio,infarto_agudo_i21_i22,42
2024,1,30-39,F,circulatorio,insuf_cardiaca_i50,11
2024,1,30-39,F,circulatorio,isquemica_outras_i20_i25,7
2024,1,30-39,F,circulatorio,miocardite_i40_i41,1
2024,1,30-39,F,circulatorio,parada_arritmia_i46_i49,6
2024,1,30-39,F,circulatorio,trombose_venosa_i80_i82,5
2024,1,30-39,F,covid,"",4
2024,1,30-39,F,digestivo,"",77
2024,1,30-39,F,endocrino_diabetes,"",32
2024,1,30-39,F,endocrino_diabetes,diabetes_e10_e14,32
2024,1,30-39,F,externas,"",317
2024,1,30-39,F,geniturinario,"",39
2024,1,30-39,F,infecciosas,"",106
2024,1,30-39,F,infecciosas,sepse_a40_a41,12
2024,1,30-39,F,mal_definidas,"",83
2024,1,30-39,F,neoplasias,cancer_colorretal_c18_c21,29
2024,1,30-39,F,neoplasias,cancer_estomago_c16,23
2024,1,30-39,F,neoplasias,cancer_hematologico_c81_c96,30
2024,1,30-39,F,neoplasias,cancer_mama_c50,120
2024,1,30-39,F,neoplasias,cancer_outros_c00_c97,190
2024,1,30-39,F,neoplasias,cancer_pancreas_c25,6
2024,1,30-39,F,neoplasias,cancer_pulmao_c34,10
2024,1,30-39,F,neoplasias,neoplasia_in_situ_benigna_d00_d48,5
2024,1,30-39,F,neuro_mentais,"",59
2024,1,30-39,F,outras,"",116
2024,1,30-39,F,respiratorio,"",29
