ano,faixa,parada,parada_domicilio,parada_hospital,parada_sem_assist,parada_com_assist,parada_masc,autoimune,conectivo_m30_m36,miocardite,miocardite_masc,cancer,embolia,embolia_domicilio,maldef,todos_domicilio,total
2016,0-19,75.0,14.0,46.0,13.0,36.0,45.0,239.0,119.0,38.0,20.0,2758.0,60.0,8.0,2564.0,5043.0,72524
2016,20-29,81.0,13.0,49.0,10.0,41.0,57.0,335.0,222.0,8.0,6.0,2739.0,172.0,19.0,2342.0,6083.0,55643
2016,30-39,149.0,34.0,95.0,13.0,74.0,98.0,432.0,248.0,17.0,9.0,6730.0,426.0,85.0,3659.0,9764.0,64864
2016,40-49,339.0,72.0,208.0,49.0,166.0,211.0,543.0,295.0,16.0,9.0,16249.0,646.0,142.0,5809.0,16219.0,92650
2016,50-59,722.0,121.0,499.0,39.0,389.0,453.0,684.0,293.0,17.0,11.0,37320.0,916.0,201.0,9079.0,28387.0,157797
2016,60-69,1366.0,264.0,952.0,90.0,735.0,825.0,747.0,252.0,4.0,3.0,52691.0,1174.0,262.0,11451.0,39795.0,221752
2016,70+,6546.0,1424.0,4599.0,288.0,3829.0,2738.0,1179.0,335.0,27.0,17.0,92826.0,3997.0,1147.0,40320.0,150696.0,641365
2016,ign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,21.0,2.0,645.0,147.0,3179
2017,0-19,66.0,12.0,50.0,7.0,38.0,42.0,241.0,130.0,30.0,17.0,2534.0,48.0,4.0,2420.0,5058.0,71517
2017,20-29,68.0,10.0,40.0,11.0,33.0,56.0,288.0,188.0,7.0,4.0,2569.0,148.0,24.0,2169.0,6298.0,55755
2017,30-39,162.0,45.0,85.0,34.0,65.0,115.0,433.0,261.0,13.0,9.0,6962.0,353.0,64.0,3541.0,9642.0,63776
2017,40-49,319.0,70.0,199.0,52.0,163.0,190.0,541.0,304.0,14.0,10.0,16390.0,629.0,128.0,5391.0,15960.0,89177
2017,50-59,687.0,133.0,451.0,67.0,365.0,455.0,642.0,286.0,7.0,4.0,37603.0,802.0,192.0,8648.0,28032.0,153293
2017,60-69,1391.0,203.0,1009.0,101.0,789.0,795.0,660.0,252.0,18.0,12.0,54758.0,1153.0,251.0,11119.0,40111.0,223284
